Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table e_any_dep * any_psy,Row 2,0.0028,0.0001,0.0026,0.0029,
Table e_any_dep * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_dep * any_psy,Difference,-0.0018,0.0001,-0.0020,-0.0016,1
Table e_any_dep * any_oth,Row 1,0.0267,0.0002,0.0262,0.0272,
Table e_any_dep * any_oth,Row 2,0.0573,0.0004,0.0565,0.0581,
Table e_any_dep * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_dep * any_oth,Difference,-0.0306,0.0005,-0.0316,-0.0297,1
Table e_any_dep * any_slp,Row 1,0.0381,0.0003,0.0376,0.0387,
Table e_any_dep * any_slp,Row 2,0.0757,0.0005,0.0748,0.0766,
Table e_any_dep * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_dep * any_slp,Difference,-0.0375,0.0005,-0.0386,-0.0365,1
Table e_any_dep * any_sex,Row 1,0.0009,0.0000,0.0008,0.0010,
Table e_any_dep * any_sex,Row 2,0.0018,0.0001,0.0017,0.0020,
Table e_any_dep * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_dep * any_sex,Difference,-0.0009,0.0001,-0.0011,-0.0007,1
Table e_any_dep * any_per,Row 1,0.0008,0.0000,0.0007,0.0008,
Table e_any_dep * any_per,Row 2,0.0023,0.0001,0.0021,0.0024,
Table e_any_dep * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_dep * any_per,Difference,-0.0015,0.0001,-0.0017,-0.0013,1
Table e_any_dep * any_sui,Row 1,0.0018,0.0001,0.0017,0.0019,
Table e_any_dep * any_sui,Row 2,0.0054,0.0001,0.0052,0.0057,
Table e_any_dep * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_dep * any_sui,Difference,-0.0036,0.0001,-0.0039,-0.0033,1
Table e_any_dep * any_con,Row 1,0.0377,0.0003,0.0371,0.0383,
Table e_any_dep * any_con,Row 2,0.0484,0.0004,0.0476,0.0491,
Table e_any_dep * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_dep * any_con,Difference,-0.0107,0.0005,-0.0116,-0.0097,1
Table e_any_dep * any_dev,Row 1,0.0191,0.0002,0.0187,0.0196,
Table e_any_dep * any_dev,Row 2,0.0299,0.0003,0.0294,0.0305,
Table e_any_dep * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_dep * any_dev,Difference,-0.0108,0.0004,-0.0115,-0.0101,1
Table e_any_dep * any_stm,Row 1,0.0102,0.0001,0.0099,0.0105,
Table e_any_dep * any_stm,Row 2,0.0152,0.0002,0.0147,0.0156,
Table e_any_dep * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_dep * any_stm,Difference,-0.0050,0.0003,-0.0055,-0.0045,1
Table e_any_str * any_adhd,Row 1,0.0299,0.0003,0.0293,0.0304,
Table e_any_str * any_adhd,Row 2,0.0551,0.0004,0.0543,0.0559,
Table e_any_str * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_str * any_adhd,Difference,-0.0253,0.0005,-0.0262,-0.0243,1
Table e_any_str * any_sub,Row 1,0.0046,0.0001,0.0044,0.0048,
Table e_any_str * any_sub,Row 2,0.0089,0.0002,0.0086,0.0093,
Table e_any_str * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_str * any_sub,Difference,-0.0043,0.0002,-0.0047,-0.0040,1
Table e_any_str * any_chad,Row 1,0.0490,0.0003,0.0484,0.0496,
Table e_any_str * any_chad,Row 2,0.0853,0.0005,0.0843,0.0862,
Table e_any_str * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_str * any_chad,Difference,-0.0363,0.0006,-0.0374,-0.0351,1
Table e_any_str * any_dep,Row 1,0.0307,0.0003,0.0302,0.0312,
Table e_any_str * any_dep,Row 2,0.0566,0.0004,0.0558,0.0574,
Table e_any_str * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_str * any_dep,Difference,-0.0259,0.0005,-0.0268,-0.0249,1
Table e_any_str * any_str,Row 1,0.0087,0.0001,0.0085,0.0090,
Table e_any_str * any_str,Row 2,0.0291,0.0003,0.0285,0.0296,
Table e_any_str * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_str * any_str,Difference,-0.0203,0.0003,-0.0210,-0.0197,1
Table e_any_str * any_anx,Row 1,0.0228,0.0002,0.0224,0.0232,
Table e_any_str * any_anx,Row 2,0.0405,0.0003,0.0398,0.0411,
Table e_any_str * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
