lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper
m_int,~~,md_ext,mdm_ei_i,0.15893789837694225,0.0017884663770395442,88.8682618904096,0,0.1554325686903839,0.1624432280635006
md_ext,~~,m_thd,mdm_et_i,0.14556423388906586,0.0040101125754469,36.29928864848482,0,0.13770455766723877,0.15342391011089296
m_ext,~~,md_int,mdm_ie_i,0.20957874112249597,0.0015557076683916638,134.71601727023986,0,0.20652961012197552,0.21262787212301643
m_int,~~,md_int,mdm_ii_i,0.20976964332058895,0.0012157734911949754,172.54007003755922,0,0.20738677106448827,0.21215251557668963
md_int,~~,m_thd,mdm_it_i,0.1647052980817266,0.0029620388440462823,55.60538087229522,0,0.15889980862658723,0.17051078753686597
m_ext,~~,md_thd,mdm_te_i,0.1337348601861823,0.0029148524372203896,45.88049071661143,0,0.12802185438898153,0.13944786598338307
m_int,~~,md_thd,mdm_ti_i,0.11615850712078497,0.0024232088095190187,47.93582239569408,0,0.11140910512710751,0.12090790911446243
m_thd,~~,md_thd,mdm_tt_i,0.1812927308413125,0.004823568212258534,37.58477601303082,0,0.17183871086831354,0.19074675081431147
d_ext,~~,dm_ext,dmd_ee_i,0.26899123585251983,0.0020295731855996158,132.53586407284408,0,0.26501334550475636,0.2729691262002833
d_int,~~,dm_ext,dmd_ei_i,0.15893789837694297,0.001788466377039547,88.86826189040987,0,0.15543256869038463,0.1624432280635013
dm_ext,~~,d_thd,dmd_et_i,0.14556423388906609,0.004010112575446904,36.29928864848483,0,0.137704557667239,0.15342391011089318
d_ext,~~,dm_int,dmd_ie_i,0.2095787411224954,0.0015557076683916618,134.71601727023966,0,0.20652961012197496,0.21262787212301582
d_int,~~,dm_int,dmd_ii_i,0.20976964332058884,0.0012157734911949739,172.54007003755936,0,0.20738677106448816,0.21215251557668952
dm_int,~~,d_thd,dmd_it_i,0.16470529808172768,0.0029620388440462823,55.60538087229559,0,0.1588998086265883,0.17051078753686705
d_ext,~~,dm_thd,dmd_te_i,0.13373486018618214,0.0029148524372203904,45.88049071661136,0,0.12802185438898137,0.1394478659833829
d_int,~~,dm_thd,dmd_ti_i,0.11615850712078435,0.0024232088095190152,47.9358223956939,0,0.1114091051271069,0.1209079091144618
dm_thd,~~,d_thd,dmd_tt_i,0.1812927308413121,0.004823568212258535,37.58477601303073,0,0.1718387108683131,0.19074675081431108
d_ext,~~,dd_ext,ddd_ee_i,0.26899123585252016,0.0020295731855996184,132.53586407284408,0,0.2650133455047567,0.27296912620028363
d_int,~~,dd_ext,ddd_ei_i,0.1589378983769428,0.0017884663770395446,88.86826189040988,0,0.15543256869038446,0.16244322806350114
